Province/State,Country/Region,Lat,Long,12/31/2020,1/1/2021,1/2/2021,1/3/2021,1/4/2021,1/5/2021,1/6/2021,1/7/2021,1/8/2021,1/9/2021,1/10/2021,1/11/2021,1/12/2021,1/13/2021,1/14/2021,1/15/2021,1/16/2021,1/17/2021,1/18/2021,1/19/2021
Diamond Princess,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Princess,Canada,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Manitoba,Canada,53.7609,-98.8139,24700,24700,25026,25126,25244,25374,25541,25742,25963,26166,26316,26450,26540,26695,26954,27145,27322,27511,27629,27740
New Brunswick,Canada,46.5653,-66.4619,599,601,611,618,635,662,693,717,735,765,779,800,817,836,859,884,911,947,973,1004
Newfoundland and Labrador,Canada,53.1355,-57.6604,390,390,390,390,391,392,392,392,392,392,393,393,393,393,394,395,395,396,396,396
Northwest Territories,Canada,64.8255,-124.8457,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,28
Nova Scotia,Canada,44.682,-63.7443,1486,1486,1499,1499,1505,1508,1520,1524,1526,1529,1528,1533,1534,1542,1548,1550,1554,1558,1557,1561
Nunavut,Canada,70.2998,-83.1076,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
Ontario,Canada,51.2538,-85.3232,186355,187344,191035,195368,198929,202085,205283,208691,212962,216674,220394,223857,226609,229854,233065,236127,239066,242339,244883,247144
Prince Edward Island,Canada,46.5107,-63.4168,94,94,94,94,96,97,97,102,102,102,102,102,103,103,103,103,103,103,108,110
Quebec,Canada,52.9399,-73.5491,202641,202641,202641,210304,212850,215358,217999,220518,223106,226233,228821,230690,232624,234695,236827,238745,240970,242714,244348,245734
Repatriated Travellers,Canada,,,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Saskatchewan,Canada,52.9399,-106.4509,15350,15350,15845,16083,16367,16520,16804,17138,17474,17803,17803,18522,18770,19017,19329,19715,19985,20272,20562,20871
Yukon,Canada,64.2823,-135,60,60,60,60,65,65,66,69,70,70,70,70,70,70,70,70,70,70,70,70
,Central African Republic,6.6111,20.9394,4963,4963,4963,4963,4963,4963,4963,4969,4969,4969,4973,4973,4973,4973,4973,4973,4973,4973,4973,4973
,Chad,15.4542,18.7322,2113,2141,2169,2213,2229,2289,2328,2358,2419,2510,2537,2589,2668,2709,2773,2807,2855,2895,2919,2977
